integrated_code	L2	L1	endangered_aggregated_status	eth_status	cru_docs	cru_words	cru_floss_splchk	cru_watchtower	cru_udhr	in_omniglot	la_primary_texts_online	la_primary_texts_all	la_lang_descr_online	la_lang_descr_all	la_lex_res_online	la_lex_res_all	la_res_in_online	la_res_in_all	la_res_about_online	la_res_about_all	la_oth_res_in_online	la_oth_res_in_all	la_oth_res_about_online	la_oth_res_about_all	mac_input	mac_input_partial	microsoft_pack	win10_input_method	ubuntu_pack	ubuntu_input	office13_if_pack	office13_lp	firefox_lpack	firefox_dict	wals_samples_100	wals_samples_200	indi_blogs	indi_posts	indi_words	indi_users	indi_tweets	wp_articles	wp_total	wp_edits	wp_admins	wp_users	wp_active_users	wp_images	wp_depth	wp_inc	wp_real_articles	wp_adjusted_size	uriel_feats	on_bible_org	in_leipzig_corpora	find_bible_all_versions	treetagger	endangered_langspec	endangered_lex	seed_label
aka_____________A	13.815511558	15.9335236839	0	3	176.0	267975.0	1	1	1	1	3.0	3.0	12.0	16.0	1.0	2.0							28.0	40.0	0	1	0	0	0	1	0	0	1	1	0	0				38.0	31578.0	259.0	1842.0	20697.0	0.0	6144.0	13.0	0.0	0.0	0	23.0	212505.634726	244.0	0	1	4.0	0	0	0	-
lah_____________A	0.0	18.2893184372	0	5.0	593.0	527887.0	0	0	0	0					1.0	1.0									0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	4.0	0	0	0	-
lav_____________A	0.0	14.376417512	0	1.0	2574.0	1507013.0	1	1	1	1	1.0	1.0	4.0	4.0	7.0	7.0					28.0	28.0	22.0	26.0	0	0	0	1	1	1	0	1	0	1	0	1						72042.0	291782.0	2651778.0	12.0	60539.0	228.0	18558.0	85.0	0	38292.0	335964016.354	104.0	1	1	8.0	0	0	1	-
hai_____________A	0.0	3.21887582487	0	8.5	4.0	2991.0	0	0	0	1			1.0	3.0	1.0	1.0									0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	4.0	0	0	0	-
bnc_____________A	0.0	10.6140079412	0	5.0	1.0	2082.0	0	0	0	0	2.0	2.0	4.0	4.0	3.0	3.0							6.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0														0			48.0	0	0	6.0	0	0	0	-
uzb_____________A	0.0	17.1113930155	0	1.0	17.0	325381.0	0	0	1	1	1.0	1.0	1.0	2.0	2.0	2.0					5.0	6.0	2.0	3.0	0	1	0	1	1	1	1	1	1	1	0	0						128695.0	614484.0	2645898.0	7.0	28083.0	82.0	391.0	61.0	0	27828.0	210210658.858	0.0	0	0	5.0	0	0	1	v
nor_____________A	0.0	15.3719233615	0	1	3300.0	1740608.0	1	0	0	1	6.0	6.0	2.0	4.0	7.0	9.0					29.0	50.0	6.0	12.0	0	0	0	1	0	1	0	0	0	0	0	0														0			35.0	0	0	14.0	0	0	0	-
zpszap6_________a	0.0	12.9985446636	0	5.0	8.0	102505.0	0	1	0	1	0.0	2.0	2.0	8.0	2.0	5.0					0.0	3.0	3.0	17.0	0	0	0	0	0	0	0	0	0	0	0	0				17.0	422.0									0			0.0	0	0	149.0	0	0	0	-
yid_____________A	0.0	14.2279055985	0	4.0	31.0	251636.0	0	0	0	1	1.0	1.0	1.0	2.0	2.0	4.0					1.0	1.0	0.0	3.0	0	0	1	0	1	1	1	1	0	1	0	0	51.0	2502.0	812895.0	263.0	46743.0	13421.0	37773.0	528329.0	3.0	24280.0	27.0	1452.0	46.0	0	5026.0	43276018.4053	27.0	0	1	3.0	0	0	0	-
jrb_____________A	0.0	12.5543922809	6	6.0			0	0	0	1															0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
pus_____________A	0.0	17.4619521555	0	1.0	2833.0	172361.0	0	0	0	1			1.0	4.0	1.0	2.0					2.0	2.0	1.0	3.0	0	0	0	1	1	1	0	1	0	0	0	0						7432.0	21471.0	196681.0	2.0	12456.0	32.0	1375.0	33.0	0	2427.0	37379154.2677	0.0	0	1	1.0	0	0	1	-
kau_____________A	0.0	15.1400627512	0	3.0	2.0	1838.0	0	0	1	1			1.0	4.0	1.0	1.0							0.0	1.0	0	1	0	0	0	0	0	0	0	0	0	0						0.0	162.0	4563.0	0.0	4402.0	1.0	0.0	0.0	1	0.0	0.0	0.0	0	0		0	0	0	-
hbs_____________A	0.0	16.5616389608	0	1.0	34.0	1934504.0	1	0	0	1			1.0	1.0	2.0	5.0					1.0	1.0	5.0	12.0	0	0	0	0	0	1	0	0	0	0	0	0						434800.0	4549929.0	37789380.0	10.0	96380.0	221.0	7726.0	744.0	0	86430.0	911850336.714	0.0	0	1	12.0	0	0	0	v
syr_____________A	0.0	12.9906611679	0	6.5	1.0	5391.0	0	0	0	1			0.0	5.0	1.0	1.0					0.0	1.0	0.0	1.0	0	0	0	1	0	1	0	0	0	0	0	0														0			0.0	0	0	8.0	0	0	0	-
luy_____________A	0.0	15.441766452	0	4.0	7.0	19968.0	0	0	0	0	2.0	2.0	1.0	3.0	1.0	1.0							3.0	3.0	0	1	0	0	0	0	0	0	0	0	0	0														0			9.0	0	0	5.0	0	0	0	-
nep_____________A	0.0	16.5973130156	0	1.0	283.0	699787.0	1	1	1	1	45.0	55.0	7.0	11.0	2.0	8.0					4.0	9.0	524.0	532.0	0	1	1	1	1	1	1	1	0	1	0	0						27971.0	77138.0	563245.0	10.0	28711.0	109.0	452.0	23.0	0	6075.0	70762833.817	247.0	0	1	5.0	0	0	1	v
doi_____________A	0.0	15.1967926285	0	4.0	22.0	5809.0	0	0	0	1			1.0	1.0	1.0	1.0									0	0	0	0	0	0	0	0	0	0	0	0														1	2.0	7880.50826265	0.0	0	0		0	0	0	-
bal_____________A	0.0	15.813422172	0	5.0	265.0	21773.0	0	0	1	1			0.0	2.0	2.0	2.0							1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														1	4.0	12565.0423758	0.0	0	0	1.0	0	0	0	-
din_____________A	0.0	14.1273248421	0	4.0	33.0	188859.0	0	0	0	1			4.0	5.0	1.0	1.0							169.0	181.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0	9.0	0	0	0	-
aym_____________A	0.0	14.8479834003	0	6.0	422.0	240246.0	1	1	1	1	1.0	2.0	1.0	6.0	1.0	1.0					0.0	3.0	0.0	7.0	0	1	0	0	0	0	0	0	0	0	0	0	9.0	92.0	29202.0	41.0	2696.0	3706.0	7664.0	81788.0	0.0	9442.0	19.0	0.0	12.0	0	95.0	841215.361749	10.0	0	0	2.0	0	0	0	-
man_____________A	0.0	15.686743496	0	3.0	39.0	225173.0	0	0	0	0			0.0	1.0	1.0	1.0					0.0	2.0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	3.0	0	0	0	-
orm_____________A	0.0	16.6758869756	0	2.0	7779.0	1265782.0	1	1	1	1			2.0	2.0	1.0	2.0					1.0	2.0	0.0	2.0	0	1	0	0	1	1	0	0	0	0	0	0	38.0	2093.0	692810.0	646.0	32943.0	718.0	3818.0	25425.0	0.0	4453.0	8.0	0.0	124.0	0	300.0	4329976.34818	0.0	0	1	4.0	0	1	0	v
ori_____________A	0.0	17.3015658357	0	2.0	458.0	3922.0	1	1	1	0	2.0	2.0	7.0	10.0	1.0	2.0					1.0	1.0	8.0	8.0	0	0	0	1	1	1	1	1	0	0	0	0						10870.0	50884.0	251839.0	4.0	12072.0	81.0	129.0	67.0	0	3316.0	30298623.5426	208.0	0	1	6.0	0	0	1	v
mon_____________A	0.0	15.5658560172	0	1.0	1442.0	127032.0	0	0	1	1			2.0	4.0	3.0	3.0					1.0	4.0	2.0	5.0	0	0	0	1	1	1	1	1	0	1	0	0						15819.0	50055.0	499482.0	6.0	40844.0	99.0	1445.0	47.0	0	8351.0	100845421.828	0.0	0	1	7.0	1	0	0	v
del_____________A	0.0	2.07944154168	0	8.5	2.0	2980.0	0	0	0	1			1.0	1.0	1.0	2.0							0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0				1.0	8.0									0			0.0	0	0	4.0	0	0	0	-
den_____________A	0.0	6.63463335786	0	7.0	1.0	218.0	0	0	0	0			1.0	1.0	2.0	2.0									0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	3.0	0	0	0	-
kok_____________A	0.0	15.6167979916	0	2.0	317.0	62115.0	1	0	0	1					3.0	3.0									0	0	0	0	0	0	1	1	0	0	0	0														1	1729.0	34538118.319	0.0	0	1	1.0	0	0	0	-
kom_____________A	0.0	12.2972880897	0	5.0	1090.0	239846.0	0	1	0	1			2.0	3.0	1.0	1.0									0	1	0	0	0	1	0	0	0	0	0	0	8.0	433.0	77090.0	2.0	3859.0	4580.0	10395.0	132511.0	0.0	7671.0	15.0	1.0	21.0	0	564.0	4870224.92836	0.0	0	1	2.0	0	0	0	-
kon_____________A	0.0	15.5461214869	0	2.0	564.0	311419.0	1	1	0	1			0.0	4.0	1.0	7.0					0.0	2.0	0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0						1173.0	2666.0	42589.0	1.0	5495.0	11.0	0.0	26.0	0	28.0	125399.580499	0.0	0	0	7.0	0	0	1	-
iku_____________A	0.0	10.4490333928	0	2.0	3.0	721514.0	0	0	0	1					2.0	2.0					1.0	1.0			0	0	0	1	1	1	0	0	0	0	0	0				6.0	414.0	355.0	3707.0	38113.0	1.0	9789.0	9.0	0.0	0.0	0	12.0	60685.1632332	0.0	0	0	14.0	0	1	0	-
ful_____________A	0.0	16.9215043626	0	2.0	1773.0	571105.0	1	1	0	0			3.0	5.0	1.0	3.0					0.0	1.0	2.0	10.0	0	1	0	0	1	1	0	0	1	0	0	0						193.0	1634.0	21481.0	0.0	4438.0	10.0	0.0	0.0	0	49.0	721748.697631	0.0	0	1	14.0	0	0	0	v
bik_____________A	0.0	15.1099365843	0	3.0	444.0	615975.0	0	1	1	1	1.0	1.0	1.0	1.0	1.0	2.0							3.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	4.0	0	0	0	-
zha_____________A	0.0	16.5192984215	0	3.0	5.0	29179.0	0	0	1	1					1.0	2.0							1.0	9.0	0	0	0	0	0	0	0	0	0	0	0	0				4.0	424.0	1163.0	2735.0	38280.0	0.0	5431.0	10.0	0.0	26.0	0	97.0	1275318.24866	0.0	0	1		0	0	0	v
zho_____________A	0.0	20.9015907854	0	0.0	19.0	24465.0	0	1	0	1	20.0	21.0	1.0	33.0	5.0	40.0					153.0	247.0	2.0	88.0	0	0	0	0	1	1	0	0	1	0	0	0						897850.0	4751896.0	42584522.0	82.0	2288809.0	6651.0	42401.0	165.0	0	285512.0	2797238368.28	0.0	1	1	91.0	1	0	0	g
chm_____________A	0.0	13.1403820615	0	4.0	2.0	257966.0	0	0	0	1			1.0	1.0	1.0	1.0									0	0	0	0	0	1	0	0	0	0	0	0														0			0.0	0	0	1.0	0	0	0	-
que_____________A	0.0	16.0030013599	0	2.0	303.0	148710.0	1	1	1	1	0.0	4.0	2.0	26.0	2.0	18.0					2.0	9.0	3.0	64.0	0	1	1	0	0	0	1	0	0	0	0	0	15.0	78.0	91442.0	25.0	1231.0	19649.0	51269.0	661213.0	2.0	16171.0	31.0	0.0	33.0	1	6.0	33450.1355197	0.0	0	0	132.0	0	1	0	-
est_____________A	0.0	14.0139523166	0	1.0	6519.0	1026001.0	1	1	1	1	9.0	9.0	6.0	14.0	7.0	8.0					32.0	40.0	17.0	37.0	0	0	0	0	0	0	0	0	1	1	0	0						148962.0	380157.0	4598644.0	31.0	91439.0	334.0	2588.0	29.0	0	58665.0	598786376.993	72.0	0	1	5.0	1	1	0	-
bua_____________A	0.0	12.7041199735	0	5.0	1877.0	342022.0	0	1	0	1			2.0	2.0	1.0	1.0					0.0	1.0	0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0						1765.0	6454.0	48674.0	1.0	7370.0	14.0	0.0	53.0	0	660.0	6988532.92171	0.0	0	1	1.0	0	0	0	-
mwr_____________A	0.0	16.7967686339	0	4.0			0	0	0	1			0.0	1.0											0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
kur_____________A	0.0	17.2158038978	0	2.0	761.0	351625.0	0	1	0	1			1.0	2.0	3.0	3.0					1.0	1.0	1.0	2.0	0	0	0	0	0	0	0	0	1	1	0	0						17640.0	103375.0	523311.0	6.0	23645.0	101.0	530.0	120.0	0	5688.0	44785998.4631	33.0	0	1	12.0	0	0	0	-
gon_____________A	0.0	14.5333508389	0	5.0			0	0	0	1			0.0	2.0							0.0	1.0	2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	2.0	0	0	0	-
raj_____________A	0.0	16.3307856336	0	3.0	19.0	588.0	0	0	1	1			0.0	2.0	1.0	1.0									0	0	0	0	0	0	0	0	0	0	0	0														1	12.0	230602.355191	0.0	0	0	2.0	0	0	0	-
sqi_____________A	0.0	15.4957798375	0	1.0	5595.0	2718340.0	1	1	0	1			1.0	2.0	1.0	2.0					6.0	6.0	1.0	1.0	0	0	0	1	1	1	1	1	1	1	0	0						59209.0	160544.0	1804848.0	11.0	85947.0	175.0	11470.0	33.0	0	17957.0	284285805.44	0.0	0	1	15.0	0	1	1	-
rom_____________A	0.0	14.2856273058	0	2.0	9.0	610636.0	0	0	0	1			1.0	3.0	2.0	3.0							2.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0				3.0	23978.0	585.0	2496.0	49743.0	0.0	10346.0	17.0	0.0	213.0	0	76.0	560577.653699	23.0	0	1	10.0	0	0	0	-
msa_____________A	0.0	17.9177503209	0	1.0	1.0	245753.0	0	0	0	1					2.0	2.0					3.0	18.0	4.0	4.0	1	1	1	0	1	1	0	1	1	1	0	0						284804.0	771803.0	4207140.0	16.0	178920.0	360.0	21921.0	16.0	0	44069.0	485048406.689	0.0	1	1	18.0	0	1	1	-
fas_____________A	0.0	17.8587039385	0	1.0	1007.0	775005.0	1	1	0	1			0.0	6.0	3.0	4.0					29.0	34.0	0.0	8.0	0	1	1	1	1	1	1	1	1	1	0	0						503472.0	3324144.0	22776696.0	32.0	590606.0	3208.0	38449.0	215.0	0	88551.0	984553802.699	0.0	0	1	21.0	0	0	0	-
ara_____________A	0.0	19.2862556189	0	0.0	9542.0	652506.0	1	1	1	0	7.0	10.0	0.0	28.0	5.0	11.0					110.0	115.0	4.0	41.0	1	1	1	1	1	1	0	0	1	1	0	0						440870.0	2619221.0	23717365.0	34.0	1221400.0	3689.0	29020.0	221.0	0	129987.0	1678904836.13	0.0	0	1	48.0	0	1	0	-
swa_____________A	0.0	16.5523678873	0	1.0	2.0	7913.0	0	0	0	1			0.0	1.0	2.0	2.0					4.0	19.0	0.0	2.0	0	0	1	0	1	1	1	1	1	0	0	0				1296.0	7270372.0	34078.0	81061.0	1023719.0	9.0	24871.0	69.0	2017.0	24.0	0	6435.0	69506911.6735	0.0	0	1	7.0	1	0	1	-
zza_____________A	0.0	14.3102074096	0	4.0	93.0	510194.0	0	0	0	0	0.0	1.0	6.0	7.0	1.0	1.0							5.0	5.0	0	1	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
grb_____________A	0.0	12.4874888785	0	5.0	2.0	268327.0	0	0	0	0			2.0	2.0	1.0	2.0									0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	5.0	0	0	0	-
grn_____________A	0.0	15.4127100859	0	1.0	149.0	127934.0	1	1	1	1			0.0	2.0	2.0	3.0					0.0	1.0	1.0	8.0	0	1	0	1	0	0	0	0	0	0	0	0	16.0	1380.0	805667.0	34.0	8767.0	3110.0	8418.0	100616.0	1.0	8929.0	23.0	0.0	35.0	0	761.0	10373903.5339	0.0	0	1	27.0	0	1	0	-
hmn_____________A	0.0	15.8578239256	0	5.0	1110.0	2013820.0	0	1	0	1			0.0	1.0	1.0	1.0					0.0	4.0	1.0	10.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	6.0	0	0	0	-
xtw_____________A	0.0	0.0	0	8.0			0	0	0	0			1.0	1.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
xtv_____________A	0.0	0.405465108108	9	10			0	0	0	0									1.0	1.0					0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
mizxtu1_________a	0.0	7.5395588293	0	6.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
mcextt13________a	0.0	5.96870755999	0	6.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
mabxts10________a	0.0	3.55534806149	0	8.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
xtr_____________A	0.0	0.0	0	7			0	0	0	0															0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
xtq_____________A	0.0	0.0	0	7			0	0	0	0			1.0	1.0											0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
mabxtp9_________a	0.0	6.133398043	0	8.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
xtz_____________A	0.0	0.0	0	7			0	0	0	0			1.0	1.0											0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
mimxty3_________a	0.0	9.26870361527	0	6.5			0	0	0	0	1.0	1.0	1.0	1.0							1.0	1.0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
xtg_____________A	0.0	0.0	0	7			0	0	0	1			1.0	1.0											0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	-
xte_____________A	0.0	9.20743615883	0	5			0	0	0	0			2.0	4.0	2.0	3.0							3.0	20.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
mabxtd8_________a	0.0	8.13476078242	0	6.5	2.0	248415.0	0	0	0	0	2.0	2.0	6.0	7.0	3.0	3.0							17.0	24.0	0	0	0	0	0	0	0	0	0	0	0	0														0			17.0	1	0	7.0	0	0	0	-
xtc_____________A	0.0	11.2252567258	0	6.5			0	0	0	0			6.0	7.0	1.0	1.0							5.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0														0			216.0	0	0		0	0	0	-
miixtb2_________a	0.0	8.24038511552	0	7			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
mimxta2_________a	0.0	9.21044036698	0	6.0			0	0	0	0			2.0	4.0	1.0	3.0							7.0	9.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	2.0	0	0	0	-
xto_____________A	0.0	0.0	0	7			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			13.0	0	0		0	0	1	s
mcextn12________a	0.0	9.41743583887	0	5	2.0	39070.0	0	0	0	0			2.0	2.0	1.0	1.0							50.0	53.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	1	0	2.0	0	0	0	-
mcextm11________a	0.0	8.90259163737	0	5	261.0	559374.0	0	0	0	0	2.0	2.0	7.0	7.0	2.0	3.0							26.0	37.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	1	0	5.0	0	0	0	-
mcextl10________a	0.0	8.0867179203	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
mcextj9_________a	0.0	5.80211837538	0	6.0			0	0	0	0			1.0	1.0									20.0	20.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
mcexti8_________a	0.0	7.01301578964	0	6.0	1.0	834.0	0	0	0	0			1.0	1.0	1.0	1.0							16.0	16.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
xth_____________A	0.0	0.405465108108	9	9			0	0	0	0									1.0	1.0					0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
wji_____________A	0.0	11.2606234063	5	6.0			0	0	0	0			2.0	2.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
wja_____________A	0.0	11.0021165077	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
tmv_____________A	0.0	8.51739317142	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
txo_____________A	0.0	7.79831786228	6	6.0			0	0	0	0	0.0	1.0	1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			19.0	0	0		0	0	1	s
txn_____________A	0.0	8.99367578676	6	5			0	0	0	0			2.0	2.0									3.0	10.0	0	0	0	0	0	0	0	0	0	0	0	0														0			15.0	0	0		0	0	0	s
txm_____________A	0.0	10.3302411117	6	6.5			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
txj_____________A	0.0	0.0	0	9			0	0	0	0			1.0	1.0											0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
txi_____________A	0.0	5.67160357629	7	6.0			0	0	0	0			3.0	3.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	s
txh_____________A	0.0	0.0	0	7			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
txg_____________A	0.0	0.0	0	7			0	0	0	1			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
txe_____________A	0.0	9.83561013013	5	7			0	0	0	0			1.0	2.0									243.0	244.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
txc_____________A	0.0	0.0	0	7			0	0	0	0			1.0	1.0											0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
txb_____________A	0.0	0.0	0	7			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			14.0	0	0		0	0	1	s
txa_____________A	0.0	0.0	0	6.5			0	0	0	0			2.0	3.0	0.0	3.0							3.0	14.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
txy_____________A	0.0	13.1421679655	0	6.0			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
txx_____________A	0.0	0.0	0	6.5			0	0	0	0			6.0	7.0									5.0	16.0	0	0	0	0	0	0	0	0	0	0	0	0														0			175.0	0	0		0	0	0	-
txu_____________A	0.0	8.80417501875	6	6.5	1.0	307648.0	0	0	0	0			5.0	8.0	1.0	2.0							9.0	15.0	0	0	0	0	0	0	0	0	0	0	0	0														0			197.0	1	0	7.0	0	0	0	-
txt_____________A	0.0	8.98732181285	0	5			0	0	0	0			1.0	1.0	5.0	5.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
txs_____________A	0.0	11.4075760604	0	6.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
txr_____________A	0.0	0.0	0	7			0	0	0	1			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
txq_____________A	0.0	9.90353755129	5	6.0			0	0	0	1			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	1	0		0	0	0	s
dne_____________A	0.0	11.5129354649	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			19.0	0	0		0	0	0	s
